postal_code,lat,lon
018916,1.27977737342079,103.851513251763
018953,1.28387301464472,103.865993692974
018989,1.28239072896317,103.852501086788
038983,1.29485990186642,103.860333693777
048545,1.28214167321935,103.850754841091
049513,1.28504650852703,103.849079166892
058282,1.2892925052942,103.844167619098
058416,1.28897209658289,103.848459830887
080108,1.27394227707874,103.835659286991
082001,1.27568847511494,103.842433449984
090113,1.27477013494182,103.826932277494
098803,1.27769636861028,103.816909718785
098917,1.27580647025274,103.819844388996
100092,1.27621463534143,103.807644658523
100108,1.28084469467756,103.810292618353
117488,1.27871081603146,103.788327649564
119082,1.29351287719231,103.784685581372
119759,1.28004608887578,103.788964885893
120330,1.31374471195404,103.767781828711
120463,1.31096580515636,103.767863406037
120509,1.31115776641946,103.761017540932
120801,1.29971617660023,103.763834786591
123311,1.32010579446331,103.765573473984
127375,1.30868319813079,103.761410138704
127473,1.31574767479155,103.753587995926
138565,1.29379198840514,103.793103084317
138664,1.30380338823957,103.790048011544
139658,1.30964603329964,103.774586761471
142030,1.29844263703974,103.804187173847
142057,1.29270339855062,103.810958956467
148952,1.29813057936034,103.80095202592
149382,1.29933286640747,103.807166049854
158736,1.29012765494819,103.816552347869
159016,1.2912990413487,103.823940802388
159053,1.28681192285996,103.815072600966
159563,1.28536326844195,103.819699003494
160137,1.27814726027803,103.826958969986
161079,1.29107462632332,103.828690179257
179097,1.29109531029255,103.849924781238
188553,1.29755506526153,103.852228303832
190462,1.30458618988007,103.860840751642
210010,1.31388788181031,103.852226892124
228481,1.30178268606854,103.847150912242
237994,1.29317220444774,103.832095275633
239128,1.29778849920286,103.83916468554
239850,1.29825648344236,103.838031480508
248279,1.29629183814515,103.830630273709
249196,1.29544468154035,103.828018556953
249537,1.30439518808402,103.812252696384
259101,1.31413877201261,103.824251708848
267214,1.3241220949637,103.796877267755
267551,1.32694822773844,103.794576037894
269460,1.32111549760195,103.806468066323
272018,1.31105861060205,103.791886571185
277375,1.31801879040484,103.787005962926
278685,1.33216946765984,103.790714522481
287773,1.331436962548,103.798326696038
289627,1.33085621525464,103.799435789788
298136,1.3337060526547,103.839543204628
298137,1.33350669538099,103.839776129849
307995,1.31410015547472,103.840838756221
309458,1.3153020324567,103.845605899704
309763,1.31763329946712,103.839896397053
310006,1.33858279721249,103.85719237771
310192,1.33166814812852,103.850487239503
310219,1.3427643319014,103.855872559307
310247,1.33106276500964,103.855267007861
310248,1.33136728355653,103.855870267869
310259,1.33389588710225,103.857558824931
310267,1.33169355658924,103.859028415515
310269,1.33288083752973,103.859277935499
310530,1.33216810552095,103.847086433041
319001,1.34313731285966,103.85139383899
319579,1.33739437057829,103.848544395764
319642,1.33532588681913,103.844958649497
320014,1.32372959519736,103.862088437214
322106,1.32102001237887,103.860997837489
328182,1.32388726630046,103.864269825541
