subzone,planning_area,gap_2031,gap_younger_2031,gap_older_2031,primary_driver
Orange Grove,Newton,47.41487843033844,24.596530404262676,22.81834802607576,Mixed -- both bands short
Sembawang Straits,Sembawang,46.43646037548394,21.082740346510864,25.353720028973072,Mixed -- both bands short
Bishan East,Bishan,44.91677135180316,27.43064411531668,67.4861272364866,Older-band (5-6y) driven
Monk's Hill,Newton,41.365716369689316,21.082740346510864,20.282976023178456,Mixed -- both bands short
Institution Hill,River Valley,38.730845233263494,20.27580115503622,35.12171074489395,Mixed -- both bands short
Loyang East,Pasir Ris,36.29497236389471,21.082740346510864,15.212232017383842,Mixed -- both bands short
Lavender,Kallang,35.83753213720564,23.899015657677012,28.605183146195316,Mixed -- both bands short
Cairnhill,Newton,29.16789311486255,13.24822103953258,32.58633874199665,Older-band (5-6y) driven
Woodgrove,Woodlands,28.315902045019357,39.5623347505865,88.75356729443274,Older-band (5-6y) driven
Clementi North,Clementi,27.852202380973267,133.49318166386524,2.6923540504411676,Younger-band (18mo-4y) driven
Balestier,Novena,24.498484037553908,30.80574216869354,43.69274186886037,Mixed -- both bands short
Nee Soon,Yishun,23.21823018774197,10.541370173255432,12.676860014486536,Mixed -- both bands short
Telok Blangah Rise,Bukit Merah,21.86216013430834,2.9826520213133563,18.87950811299497,Older-band (5-6y) driven
China Square,Outram,18.147486181947354,10.541370173255432,7.606116008691921,Mixed -- both bands short
Mount Pleasant,Novena,18.147486181947354,10.541370173255432,7.606116008691921,Mixed -- both bands short
Turf Club,Sungei Kadut,14.633696124195541,7.027580115503621,7.606116008691921,Mixed -- both bands short
Bugis,Downtown Core,14.633696124195541,7.027580115503621,7.606116008691921,Mixed -- both bands short
Lakeside (Leisure),Jurong East,12.098324121298237,7.027580115503621,5.070744005794614,Mixed -- both bands short
Tanglin,Orchard,12.098324121298237,7.027580115503621,5.070744005794614,Mixed -- both bands short
Tanjong Pagar,Downtown Core,12.098324121298237,7.027580115503621,5.070744005794614,Mixed -- both bands short
Paterson,River Valley,8.584534063546425,3.5137900577518106,5.070744005794614,Mixed -- both bands short
Nicoll,Downtown Core,6.0491620606491185,3.5137900577518106,2.535372002897307,Mixed -- both bands short
Fort Canning,Museum,6.0491620606491185,3.5137900577518106,2.535372002897307,Mixed -- both bands short
Somerset,Orchard,6.0491620606491185,3.5137900577518106,2.535372002897307,Mixed -- both bands short
Changi Point,Changi,6.0491620606491185,3.5137900577518106,2.535372002897307,Mixed -- both bands short
Lim Chu Kang,Lim Chu Kang,3.5137900577518106,3.5137900577518106,0.0,Younger-band (18mo-4y) driven
Selegie,Rochor,2.535372002897307,0.0,2.535372002897307,Older-band (5-6y) driven
Commonwealth,Queenstown,-0.0994991335285107,-10.806939191474648,10.707440057946144,Older-band (5-6y) driven
Hougang East,Hougang,-10.27379578938519,77.87544785424615,-54.81591031029791,Younger-band (18mo-4y) driven
Yew Tee,Choa Chu Kang,-23.899243598162798,-80.00818850939021,106.10894491122741,Older-band (5-6y) driven
Saujana,Bukit Panjang,-45.03215874077182,4.0960887782752025,67.5384191476196,Older-band (5-6y) driven
